Model name,Model type,Folder,Topo_Precision,Topo_Recall,Topo_F1,Trivial_Precision,Trivial_Recall,Trivial_F1,Macro avg Precision,Macro Avg Recall,Macro Avg F1,Accuracy,SSIM,RMSE,LPIPS
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_43\trained_model,bs=64_perturb=True_lr=1e-04,0.753,0.953,0.787,0.954,0.715,0.765,0.853,0.834,0.776,0.782,0.514,0.221,0.187
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_44\trained_model,bs=64_perturb=True_lr=1e-04,0.873,0.755,0.797,0.816,0.958,0.876,0.844,0.856,0.837,0.860,0.514,0.151,0.145
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_45\trained_model,bs=64_perturb=True_lr=1e-04,0.539,1.000,0.666,0.331,0.185,0.211,0.435,0.592,0.439,0.552,0.297,0.457,0.645
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_46\trained_model,bs=64_perturb=True_lr=1e-04,0.502,1.000,0.640,0.164,0.097,0.110,0.333,0.548,0.375,0.509,0.265,0.502,0.681
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_47\trained_model,bs=64_perturb=True_lr=1e-04,0.511,1.000,0.647,0.211,0.119,0.135,0.361,0.559,0.391,0.520,0.273,0.491,0.674
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_48\trained_model,bs=64_perturb=True_lr=1e-04,0.886,0.692,0.767,0.780,0.969,0.860,0.833,0.830,0.813,0.839,0.480,0.177,0.179
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_49\trained_model,bs=64_perturb=True_lr=1e-04,0.530,1.000,0.659,0.286,0.161,0.183,0.408,0.580,0.421,0.541,0.288,0.470,0.663
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_5\trained_model,bs=64_perturb=True_lr=1e-04,0.503,1.000,0.641,0.166,0.098,0.111,0.335,0.549,0.376,0.510,0.266,0.501,0.678
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_50\trained_model,bs=64_perturb=True_lr=1e-04,0.745,0.978,0.802,0.979,0.722,0.800,0.862,0.850,0.801,0.810,0.517,0.200,0.157
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_51\trained_model,bs=64_perturb=True_lr=1e-04,0.715,0.998,0.796,0.997,0.678,0.785,0.856,0.838,0.790,0.800,0.463,0.215,0.194
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_52\trained_model,bs=64_perturb=True_lr=1e-04,0.607,0.985,0.704,0.739,0.336,0.373,0.673,0.661,0.538,0.616,0.334,0.389,0.527
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_53\trained_model,bs=64_perturb=True_lr=1e-04,0.905,0.783,0.833,0.838,0.974,0.898,0.872,0.878,0.866,0.887,0.594,0.129,0.119
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_54\trained_model,bs=64_perturb=True_lr=1e-04,0.707,0.990,0.775,0.990,0.607,0.683,0.849,0.799,0.729,0.743,0.454,0.260,0.241
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_55\trained_model,bs=64_perturb=True_lr=1e-04,0.802,0.939,0.826,0.935,0.842,0.869,0.869,0.890,0.848,0.858,0.589,0.147,0.129
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_56\trained_model,bs=64_perturb=True_lr=1e-04,0.731,0.991,0.800,0.987,0.696,0.784,0.859,0.844,0.792,0.799,0.499,0.206,0.167
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_57\trained_model,bs=64_perturb=True_lr=1e-04,0.591,0.998,0.701,0.627,0.307,0.350,0.609,0.652,0.525,0.608,0.332,0.397,0.566
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_58\trained_model,bs=64_perturb=True_lr=1e-04,0.870,0.807,0.820,0.841,0.950,0.887,0.856,0.879,0.854,0.873,0.558,0.139,0.129
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_59\trained_model,bs=64_perturb=True_lr=1e-04,0.850,0.828,0.809,0.849,0.926,0.877,0.850,0.877,0.843,0.861,0.552,0.151,0.163
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_6\trained_model,bs=64_perturb=True_lr=1e-04,0.533,1.000,0.662,0.321,0.172,0.198,0.427,0.586,0.430,0.546,0.290,0.464,0.651
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_60\trained_model,bs=64_perturb=True_lr=1e-04,0.505,1.000,0.642,0.184,0.105,0.121,0.344,0.553,0.382,0.514,0.269,0.497,0.680
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_61\trained_model,bs=64_perturb=True_lr=1e-04,0.488,1.000,0.630,0.114,0.064,0.074,0.301,0.532,0.352,0.493,0.261,0.518,0.693
